,qw,qx,qy,qz
0,-0.09531364498164362,-0.3792020656700702,-0.8426108565934007,-0.37030804315164517
0,-0.0941062762237883,-0.37678533208936427,-0.843770529757147,-0.37044313384235283
0,-0.09382266395815539,-0.3762495581305797,-0.844015770562524,-0.37050095381265535
0,-0.09450967469009819,-0.37712784514170583,-0.8435905426927018,-0.3704018170692177
0,-0.09448012597504934,-0.37741349757973863,-0.8434817395804649,-0.3703661872183803
0,-0.09337963527742088,-0.37474612993104994,-0.844677927672222,-0.37062754932751174
0,-0.09199005985541245,-0.37108033285906133,-0.8461924864419882,-0.3712081509640266
0,-0.09184445478646379,-0.37059176584284936,-0.8464013073306318,-0.3712562001683653
0,-0.09131405042692711,-0.36910780130443216,-0.8471030925849219,-0.37126476501803624
0,-0.09012986626321601,-0.3663728659663429,-0.8483622772299929,-0.37138790618990775
0,-0.0889633496820102,-0.3637260558432167,-0.8495496296315801,-0.37155659798601176
0,-0.08794039225372903,-0.361353021891461,-0.8505701709096701,-0.3717806683232254
0,-0.08705342689510287,-0.3590090217777904,-0.8515240248651521,-0.3720766832595463
0,-0.08628259859953319,-0.35679485251490606,-0.8523893281413605,-0.3724045913633427
0,-0.085466321524113,-0.35475496813971336,-0.8532055788092596,-0.3726723235686872
0,-0.08488918297868954,-0.3528988557198618,-0.8539020346026261,-0.3729712315263983
0,-0.08398305706208642,-0.35093568602370967,-0.8546411380509288,-0.37333566070305674
0,-0.08358079022632675,-0.34994880514716126,-0.8549605201701185,-0.3736209231716784
0,-0.08457429647844976,-0.35166542044514276,-0.854132485871946,-0.37367943081808247
0,-0.08539428285403822,-0.3531886648717177,-0.8533870743423292,-0.3737593942731313
0,-0.08603152484145608,-0.35474742228730016,-0.852658461874403,-0.3737999337987467
0,-0.08688025097568822,-0.3563437674804254,-0.8518580956763179,-0.3739100509467153
0,-0.0882785704263649,-0.35786359010762386,-0.8507143071523624,-0.37473418910613954
0,-0.09189863239448132,-0.35755752406078084,-0.8487574529200568,-0.3785736975335263
0,-0.10133171580348173,-0.3478576460063581,-0.8439271895974801,-0.3956183010748322
0,-0.12953748392487655,-0.32955213460656824,-0.8329067501628141,-0.42530198255814233
0,-0.19574289852790944,-0.2904249219224866,-0.8153609650651478,-0.46100388181688995
0,-0.29728284256915644,-0.23925018298934797,-0.7961939453454819,-0.46952897977522273
0,-0.3983564330297752,-0.18552479525767107,-0.7679758954875935,-0.4659460554167428
0,-0.5127640929890341,-0.08142830064825306,-0.7236008893770627,-0.4548012419589407
0,-0.5549738160811977,-0.028960272770555535,-0.7023366896592338,-0.4448466482101865
0,-0.6061417427153342,0.04491917112553143,-0.6655908834394221,-0.4330857093991242
0,-0.6452119519641218,0.11782961442118196,-0.6220860489942481,-0.4275823507287564
0,-0.6579586871374242,0.17468663280717794,-0.5960955871411766,-0.42572878376931866
0,-0.6471431350968477,0.2126345235784324,-0.5913776537471568,-0.43158405059513516
0,-0.6385052784490431,0.2308613448721734,-0.5897552620284937,-0.43726740073577886
0,-0.6361219065246024,0.2472942861098499,-0.5803417988033336,-0.44429478126423655
0,-0.6423035540704088,0.25895045760506435,-0.5602792378949006,-0.4543984820821461
0,-0.6559946178822619,0.2648994522765218,-0.5323237535887781,-0.46489865869698754
0,-0.6691340176048934,0.2730398858816148,-0.5022681396016634,-0.47480059303119354
0,-0.6742431280738715,0.2982248496964911,-0.4704280854581114,-0.4849284067580308
0,-0.6768759822818672,0.3171147374625326,-0.4463067103095181,-0.4920238492458697
0,-0.6757637096495163,0.33834246973820775,-0.41783630560482066,-0.5042624352563744
0,-0.6756934162880366,0.35871352268008694,-0.3874601836469389,-0.5144294139332678
0,-0.6735315243277972,0.37283235351348265,-0.3701265459565728,-0.5199592886837667
0,-0.6649022197734022,0.3954578757316822,-0.35493774307666,-0.5249164745003102
0,-0.6581201276846166,0.4144276658716402,-0.33758359613467914,-0.5302498683803192
